"beta","gamma2","sigma2","n_clusters","R_per_cluster","replication","estimated_beta","lower_confint","upper_confint","ratio"
1,1,1,10,18,76,0.186643800232085,-1.52930351366186,1.90259111412603,"2:1"
1,1,1,10,18,77,1.67244188363608,0.231122186383961,3.1137615808882,"2:1"
1,1,1,10,18,78,0.505596585559233,-0.438855322265197,1.45004849338366,"2:1"
1,1,1,10,18,79,1.0200429393249,0.0534676060700405,1.98661827257977,"2:1"
1,1,1,10,18,80,0.501460533247403,-0.92509907012046,1.92802013661526,"2:1"
1,1,1,10,18,81,1.55483731034781,0.24156679074279,2.86810782995283,"2:1"
1,1,1,10,18,82,0.4497279072475,-0.491188671308138,1.39064448580314,"2:1"
1,1,1,10,18,83,0.279451212708839,-1.32557628025549,1.88447870567317,"2:1"
1,1,1,10,18,84,1.92616790955359,0.862284591194503,2.99005122791268,"2:1"
1,1,1,10,18,85,1.51039596142588,0.415138455532225,2.60565346731954,"2:1"
1,1,1,10,18,86,1.26126907630863,-0.528899129196506,3.05143728181377,"2:1"
1,1,1,10,18,87,0.775138520534164,-0.582605027661026,2.13288206872935,"2:1"
1,1,1,10,18,88,1.24774721109711,0.173296417834371,2.32219800435986,"2:1"
1,1,1,10,18,89,0.4999663030079,-0.986095846771311,1.98602845278711,"2:1"
1,1,1,10,18,90,NA,NA,NA,"2:1"
1,1,1,10,18,91,1.21806006255597,0.214214442354371,2.22190568275756,"2:1"
1,1,1,10,18,92,0.413474865469403,-1.4474846548149,2.2744343857537,"2:1"
1,1,1,10,18,93,0.937424387726954,-0.402718189249257,2.27756696470316,"2:1"
1,1,1,10,18,94,1.95332193020483,0.938061305930481,2.96858255447918,"2:1"
1,1,1,10,18,95,0.631451927665767,-1.05475789305582,2.31766174838735,"2:1"
1,1,1,10,18,96,0.0617385347917548,-1.59539852930555,1.71887559888906,"2:1"
1,1,1,10,18,97,0.177944218568368,-1.48395384227614,1.83984227941288,"2:1"
1,1,1,10,18,98,0.0190924734074993,-1.55635232234842,1.59453726916342,"2:1"
1,1,1,10,18,99,0.406461753779783,-1.73930314094119,2.55222664850075,"2:1"
1,1,1,10,18,100,0.968995417425216,0.351472253288589,1.58651858156184,"2:1"
1,1,1,5,38,1,0.365554394192894,-1.93099055737097,2.66209934575676,"2:1"
1,1,1,5,38,2,0.446077373168735,-0.446699812695188,1.33885455903266,"2:1"
1,1,1,5,38,3,1.88983905611148,0.128024654135645,3.65165345808732,"2:1"
1,1,1,5,38,4,3.86995550456187,2.02626503333318,5.71364597579056,"2:1"
1,1,1,5,38,5,-0.198999516414952,-1.32787678672268,0.929877753892771,"2:1"
1,1,1,5,38,6,3.20779837242153,0.0499367471093715,6.36565999773369,"2:1"
1,1,1,5,38,7,-0.491736918837731,-1.48862087654045,0.505147038864987,"2:1"
1,1,1,5,38,8,1.08909202867219,0.192871828569039,1.98531222877534,"2:1"
1,1,1,5,38,9,1.40879036032808,0.452422621798588,2.36515809885757,"2:1"
1,1,1,5,38,10,-0.243660071707567,-2.67380224428326,2.18648210086812,"2:1"
1,1,1,5,38,11,1.22929682408758,0.0108940441121232,2.44769960406304,"2:1"
1,1,1,5,38,12,0.929589311009037,-1.75535715047391,3.61453577249198,"2:1"
1,1,1,5,38,13,-0.588569346200182,-2.78752722774401,1.61038853534365,"2:1"
1,1,1,5,38,14,1.87087132202193,0.936934071461589,2.80480857258227,"2:1"
1,1,1,5,38,15,2.17859390693752,0.573874509572274,3.78331330430277,"2:1"
1,1,1,5,38,16,-0.0249917486521396,-1.7997930377737,1.74980954046942,"2:1"
1,1,1,5,38,17,0.292718982718771,-2.28014331108854,2.86558127652608,"2:1"
1,1,1,5,38,18,2.69440749602799,-0.744492329776769,6.13330732183274,"2:1"
1,1,1,5,38,19,0.00159542418577681,-1.65542534430538,1.65861619267693,"2:1"
1,1,1,5,38,20,NA,NA,NA,"2:1"
1,1,1,5,38,21,-0.913943816278518,-1.78225737374531,-0.0456302588117294,"2:1"
1,1,1,5,38,22,0.41931038961138,-0.477115939116288,1.31573671833905,"2:1"
1,1,1,5,38,23,2.59916937497536,0.119558347523048,5.07878040242767,"2:1"
1,1,1,5,38,24,0.918777539908216,0.196090214381244,1.64146486543519,"2:1"
1,1,1,5,38,25,-0.385225380444563,-1.7507304569996,0.980279696110476,"2:1"
1,1,1,5,38,26,0.599403175663379,-1.52509044624133,2.72389679756809,"2:1"
1,1,1,5,38,27,NA,NA,NA,"2:1"
1,1,1,5,38,28,1.45801757711068,-1.3111334072907,4.22716856151206,"2:1"
1,1,1,5,38,29,-0.122501383898775,-1.11572276803675,0.870720000239203,"2:1"
1,1,1,5,38,30,1.51932610830871,-0.824319015884764,3.86297123250218,"2:1"
1,1,1,5,38,31,0.359135050941572,-1.17889535260491,1.89716545448805,"2:1"
1,1,1,5,38,32,0.591460815819428,-3.64255220318703,4.82547383482589,"2:1"
1,1,1,5,38,33,NA,NA,NA,"2:1"
1,1,1,5,38,34,NA,NA,NA,"2:1"
1,1,1,5,38,35,NA,NA,NA,"2:1"
1,1,1,5,38,36,0.532276571871923,-2.02867881056614,3.09323195430999,"2:1"
1,1,1,5,38,37,0.201761415765557,-1.73067206777494,2.13419489930606,"2:1"
1,1,1,5,38,38,0.692496636359221,-0.937794276719923,2.32278754943836,"2:1"
1,1,1,5,38,39,3.32015329508469,0.308960269409252,6.33134632076013,"2:1"
1,1,1,5,38,40,1.45497982391362,0.775214141368269,2.13474550645897,"2:1"
1,1,1,5,38,41,0.103616798433094,-1.92293017113366,2.13016376799985,"2:1"
1,1,1,5,38,42,1.36707924061453,-0.367336121849165,3.10149460307822,"2:1"
1,1,1,5,38,43,1.85511982215066,0.174200028765471,3.53603961553586,"2:1"
1,1,1,5,38,44,1.86701003102481,0.14382739674163,3.59019266530799,"2:1"
1,1,1,5,38,45,1.37688148367161,-0.995125515963966,3.74888848330718,"2:1"
1,1,1,5,38,46,-0.00727622849228606,-2.5556893418266,2.54113688484203,"2:1"
1,1,1,5,38,47,0.600157750449728,-0.686086090964295,1.88640159186375,"2:1"
1,1,1,5,38,48,0.390650245794311,-0.426823504364848,1.20812399595347,"2:1"
1,1,1,5,38,49,1.79761886659906,1.10450833565035,2.49072939754776,"2:1"
1,1,1,5,38,50,-0.284485104632585,-4.06622740081792,3.49725719155275,"2:1"
1,1,1,5,38,51,0.851629486040585,-1.27623498079619,2.97949395287735,"2:1"
1,1,1,5,38,52,-0.0407995935659092,-0.762163929608712,0.680564742476894,"2:1"
1,1,1,5,38,53,0.35761139147433,-2.96238256384092,3.67760534678958,"2:1"
1,1,1,5,38,54,0.226388661820989,-0.580483245933695,1.03326056957567,"2:1"
1,1,1,5,38,55,0.284695539951134,-2.4675464649246,3.03693754482687,"2:1"
1,1,1,5,38,56,0.885545287030275,-0.896501388029874,2.66759196209042,"2:1"
1,1,1,5,38,57,NA,NA,NA,"2:1"
1,1,1,5,38,58,-0.660407585991647,-2.68321456579979,1.36239939381649,"2:1"
1,1,1,5,38,59,0.207368405002988,-1.28401844756895,1.69875525757493,"2:1"
1,1,1,5,38,60,1.20559891499635,-0.809058448835654,3.22025627882835,"2:1"
1,1,1,5,38,61,1.41069653491716,-0.536482390768275,3.3578754606026,"2:1"
1,1,1,5,38,62,0.842720989559378,-1.83031845418637,3.51576043330513,"2:1"
1,1,1,5,38,63,NA,NA,NA,"2:1"
1,1,1,5,38,64,2.69718414745255,0.78522025538401,4.6091480395211,"2:1"
1,1,1,5,38,65,1.07026448800612,0.512213035402064,1.62831594061017,"2:1"
1,1,1,5,38,66,NA,NA,NA,"2:1"
1,1,1,5,38,67,-0.00140226255101757,-0.845963964433457,0.843159439331422,"2:1"
1,1,1,5,38,68,0.393884875763936,-1.44921580806438,2.23698555959226,"2:1"
1,1,1,5,38,69,-0.759769335202625,-2.74640969329314,1.22687102288789,"2:1"
1,1,1,5,38,70,NA,NA,NA,"2:1"
1,1,1,5,38,71,1.99465470677747,0.699610737630616,3.28969867592433,"2:1"
1,1,1,5,38,72,0.169170800594087,-0.800858876141784,1.13920047732996,"2:1"
1,1,1,5,38,73,1.29005418455493,-0.12103322759289,2.70114159670274,"2:1"
1,1,1,5,38,74,1.31650167747412,-1.08552300578447,3.71852636073272,"2:1"
1,1,1,5,38,75,1.47025831574951,-0.142882496825079,3.08339912832409,"2:1"
1,1,1,5,38,76,NA,NA,NA,"2:1"
1,1,1,5,38,77,1.94127998265303,-0.167613462589291,4.05017342789534,"2:1"
1,1,1,5,38,78,-0.74931556138475,-3.52744210329739,2.02881098052789,"2:1"
1,1,1,5,38,79,0.151251411781744,-1.33171119944683,1.63421402301032,"2:1"
1,1,1,5,38,80,NA,NA,NA,"2:1"
1,1,1,5,38,81,-0.683429559626051,-1.49324365694461,0.126384537692511,"2:1"
1,1,1,5,38,82,2.49531378870503,1.0915107363462,3.89911684106386,"2:1"
1,1,1,5,38,83,0.387529766629806,-1.56318822368576,2.33824775694537,"2:1"
1,1,1,5,38,84,0.175573009622637,-1.98808784534203,2.3392338645873,"2:1"
1,1,1,5,38,85,0.500041334328566,-1.75468384362129,2.75476651227843,"2:1"
1,1,1,5,38,86,1.56762378099033,-0.865550760759832,4.0007983227405,"2:1"
1,1,1,5,38,87,1.80190499871862,0.625076468489464,2.97873352894778,"2:1"
1,1,1,5,38,88,3.23942982884027,2.36760530785639,4.11125434982414,"2:1"
1,1,1,5,38,89,NA,NA,NA,"2:1"
1,1,1,5,38,90,0.40535334379218,-2.38583439836146,3.19654108594582,"2:1"
1,1,1,5,38,91,2.43494071838405,0.875103133105052,3.99477830366305,"2:1"
1,1,1,5,38,92,0.410860613068354,-0.767256228858147,1.58897745499486,"2:1"
1,1,1,5,38,93,1.64738712174606,-0.607522988772668,3.90229723226479,"2:1"
1,1,1,5,38,94,1.06468773143344,-0.44436748353576,2.57374294640263,"2:1"
1,1,1,5,38,95,-0.727579563014626,-3.7414346654499,2.28627553942065,"2:1"
1,1,1,5,38,96,1.1267648695064,-1.12719071722928,3.38072045624208,"2:1"
1,1,1,5,38,97,-0.307689726245711,-2.43556594281445,1.82018649032303,"2:1"
1,1,1,5,38,98,-0.291352087150789,-2.00402364470564,1.42131947040406,"2:1"
1,1,1,5,38,99,NA,NA,NA,"2:1"
1,1,1,5,38,100,2.16690500972635,0.707170780937722,3.62663923851497,"2:1"
1,1,1,10,16,1,1.33796978379535,0.28149765493034,2.39444191266035,"50:1"
1,1,1,10,16,2,1.42242967966595,0.743153291463347,2.10170606786856,"50:1"
1,1,1,10,16,3,1.64802259607092,0.20880009279872,3.08724509934312,"50:1"
1,1,1,10,16,4,0.519225011780136,-1.03261283036775,2.07106285392802,"50:1"
1,1,1,10,16,5,1.50644663297755,0.426947721311218,2.58594554464389,"50:1"
1,1,1,10,16,6,1.28085303593498,-0.0182585005440548,2.57996457241401,"50:1"
