"beta","gamma2","sigma2","n_clusters","R_per_cluster","replication","estimated_beta","lower_confint","upper_confint"
2,10,10,15,12,2,3.28020282033535,0.47298671806385,6.08741897696589
2,10,10,15,12,3,2.21810189082961,-1.18213152683065,5.61833537433274
2,10,10,15,12,4,1.08667397549367,-2.84427385880753,5.01762188591464
2,10,10,15,12,5,2.44870474910523,-1.35148340642559,6.24889297822391
2,10,10,15,12,6,1.02357632478367,-2.24886541996493,4.2960181329006
2,10,10,15,12,7,2.65144530184401,-0.879227137321753,6.18211780937845
2,10,10,15,12,8,1.53709990907069,-1.68559982660447,4.75979970715094
2,10,10,15,12,9,-0.115776188538582,-3.74945415125048,3.51790184453678
2,10,10,15,12,10,5.12410158709211,2.22428578151931,8.0239174488173
3,10,10,15,12,1,3.16070110029237,-0.375394234639443,6.69679650369808
3,10,10,15,12,2,4.27429565954311,1.70896658800298,6.83962478075938
3,10,10,15,12,3,3.92785744793256,0.759128852029316,7.09658610527133
3,10,10,15,12,4,4.17933955581967,0.0625661384563981,8.29611305290166
3,10,10,15,12,5,2.79239161024735,0.0338093157704281,5.55097395814195
3,10,10,15,12,6,4.69646337520347,1.54290372777001,7.85002308377784
3,10,10,15,12,7,3.11419358013318,0.412438313509678,5.8159488990738
3,10,10,15,12,8,2.97201276093586,-0.921096475724912,6.86512207298416
3,10,10,15,12,9,5.76023094488339,-0.0645060220741028,11.584968024595
3,10,10,15,12,10,2.3631543098208,-0.932363427620303,5.65867211107723
1,1,1,10,18,1,1.49977883413712,0.325367025948154,2.67419071043438
1,1,1,10,18,2,0.730848633474469,-0.555036750947803,2.01673409246968
1,1,1,10,18,3,-0.414784153795276,-2.00882355616504,1.17925534101844
1,1,1,10,18,4,1.32092743528939,0.326233115673561,2.31562181259103
1,1,1,10,18,5,2.07701662996263,0.574809108173266,3.57922423887076
1,1,1,10,18,6,1.174370972801,0.0726894413756645,2.2760525681174
1,1,1,10,18,7,1.35646459654647,0.548095089962662,2.16483415001047
1,1,1,10,18,8,0.462732684813416,-1.23428348270106,2.15974895074332
1,1,1,10,18,9,1.30021406983461,-0.0995966440534118,2.7000248649032
1,1,1,10,18,10,0.846917887622238,-0.11344397001797,1.8072798009577
2,1,1,10,18,1,3.4976269632124,2.52302121706327,4.47223276588259
2,1,1,10,18,2,2.08964953636918,0.925061944484343,3.25423719579254
2,1,1,10,18,3,2.20230454485265,0.465935967263404,3.93867322314064
2,1,1,10,18,4,1.63020904308678,0.343370907350003,2.9170472534518
2,1,1,10,18,5,1.66822827804252,0.583735281929372,2.75272133704924
2,1,1,10,18,6,1.5234174306858,0.390519413295072,2.65631551377738
2,1,1,10,18,7,2.46544474660097,1.11312304915021,3.81776652247733
2,1,1,10,18,8,1.994361180495,0.807053692989715,3.1816687368565
2,1,1,10,18,9,2.40151027364076,0.474399594275614,4.32862106476773
2,1,1,10,18,10,1.10366926178379,-0.115034277516774,2.3223728717613
3,1,1,10,18,1,4.53048085789976,3.72330520018252,5.33765656271227
3,1,1,10,18,2,2.50649371101862,1.25981807206655,3.75316942227009
3,1,1,10,18,3,3.69716538147372,2.3608916259513,5.03343921449201
3,1,1,10,18,4,2.86699960165152,2.03137965742912,3.70261959433488
3,1,1,10,18,5,3.28388088727828,2.22767832958205,4.34008350622786
3,1,1,10,18,6,2.78801207316153,1.20758517517908,4.36843906279869
3,1,1,10,18,7,1.70971328194391,0.315663891760772,3.10376275297284
3,1,1,10,18,8,3.38371858494341,2.47111522770562,4.29632199510659
3,1,1,10,18,9,1.68912028981225,0.386178570328957,2.99206208485737
3,1,1,10,18,10,2.55120579369046,1.20963908533723,3.89277257984611
1,10,1,10,18,1,4.61446142020586,1.17130592372964,8.05761711636122
1,10,1,10,18,2,-0.332957575755962,-2.52910480409237,1.86318977994244
1,10,1,10,18,3,1.42869399630386,-2.23184679166317,5.08923499655966
1,10,1,10,18,4,1.85684921452228,-2.27461454116194,5.98831320980516
1,10,1,10,18,5,2.53581588465015,0.352375999163842,4.7192558968217
1,10,1,10,18,6,-0.42246230810452,-5.40235739727115,4.55743306986688
1,10,1,10,18,7,1.02094030047313,-1.56897366988957,3.61085442103555
1,10,1,10,18,8,2.07883071272165,-1.65762291225574,5.81528455439048
1,10,1,10,18,9,0.31659160904178,-2.41470510409349,3.04788848057508
1,10,1,10,18,10,2.51587037018913,-1.7557119148607,6.78745290296679
2,10,1,10,18,1,-0.679859025186107,-4.52400221519467,3.16428438775455
2,10,1,10,18,2,0.244536807676308,-5.35951601555326,5.84858984023514
2,10,1,10,18,3,1.13822182409781,-2.14534585931039,4.42178969793342
2,10,1,10,18,4,4.96250258618017,-0.0913441260996541,10.0163495915397
2,10,1,10,18,5,-0.30047453478821,-3.43233443639419,2.83138554844673
2,10,1,10,18,6,-2.07811419167808,-5.59112878804026,1.43490060841017
2,10,1,10,18,7,0.76104769552,-4.11405302141724,5.63614869517937
2,10,1,10,18,8,0.908047961295005,-3.74015709030476,5.55625328246715
2,10,1,10,18,9,-2.43696142687723,-6.48547581531892,1.61155319634592
2,10,1,10,18,10,0.433325297177503,-6.28693438272849,7.15358536681783
3,10,1,10,18,1,-0.743384140648131,-4.36686360571434,2.88009553454903
3,10,1,10,18,2,5.1725243360142,-1.17195356134286,11.5170026013062
3,10,1,10,18,3,-1.39598007914942,-4.1054682767071,1.3135082755416
3,10,1,10,18,4,5.73896991466063,2.66392630829211,8.81401369936259
3,10,1,10,18,5,4.76838739111498,0.311654854803945,9.22512018588412
3,10,1,10,18,6,1.65087916138559,-4.80379184472211,8.10555054182066
3,10,1,10,18,7,4.19360061472361,0.597727723834422,7.78947371414662
